x,y,threat
4.4,-4.2,1.00228
4.5,-4.2,1.00192
4.6,-4.2,1.00161
4.7,-4.2,1.00136
4.8,-4.2,1.00113
4.9,-4.2,1.00094
5,-4.2,1.00077
-5,-4.1,1
-4.9,-4.1,1
-4.8,-4.1,1
-4.7,-4.1,1
-4.6,-4.1,1
-4.5,-4.1,1
-4.4,-4.1,1
-4.3,-4.1,1
-4.2,-4.1,1
-4.1,-4.1,1
-4,-4.1,1
-3.9,-4.1,1
-3.8,-4.1,1
-3.7,-4.1,1
-3.6,-4.1,1
-3.5,-4.1,1.00001
-3.4,-4.1,1.00001
-3.3,-4.1,1.00001
-3.2,-4.1,1.00002
-3.1,-4.1,1.00002
-3,-4.1,1.00003
-2.9,-4.1,1.00004
-2.8,-4.1,1.00005
-2.7,-4.1,1.00006
-2.6,-4.1,1.00009
-2.5,-4.1,1.00011
-2.4,-4.1,1.00015
-2.3,-4.1,1.00019
-2.2,-4.1,1.00024
-2.1,-4.1,1.00031
-2,-4.1,1.00039
-1.9,-4.1,1.00048
-1.8,-4.1,1.0006
-1.7,-4.1,1.00075
-1.6,-4.1,1.00094
-1.5,-4.1,1.00118
-1.4,-4.1,1.00151
-1.3,-4.1,1.00198
-1.2,-4.1,1.00268
-1.1,-4.1,1.00373
-1,-4.1,1.00537
-0.9,-4.1,1.00794
-0.8,-4.1,1.01194
-0.7,-4.1,1.01813
-0.6,-4.1,1.02753
-0.5,-4.1,1.04155
-0.4,-4.1,1.06205
-0.3,-4.1,1.09133
-0.2,-4.1,1.13217
-0.1,-4.1,1.18774
0,-4.1,1.26146
0.1,-4.1,1.3567
0.2,-4.1,1.47649
0.3,-4.1,1.623
0.4,-4.1,1.79708
0.5,-4.1,1.99773
0.6,-4.1,2.22175
0.7,-4.1,2.4634
0.8,-4.1,2.71451
0.9,-4.1,2.96468
1,-4.1,3.20194
1.1,-4.1,3.41366
1.2,-4.1,3.58759
1.3,-4.1,3.71307
1.4,-4.1,3.7821
1.5,-4.1,3.79015
1.6,-4.1,3.73672
1.7,-4.1,3.62533
1.8,-4.1,3.46316
1.9,-4.1,3.26029
2,-4.1,3.02867
2.1,-4.1,2.78095
2.2,-4.1,2.52935
2.3,-4.1,2.28473
2.4,-4.1,2.05588
2.5,-4.1,1.84915
2.6,-4.1,1.66838
2.7,-4.1,1.51508
2.8,-4.1,1.38883
2.9,-4.1,1.28774
3,-4.1,1.20895
3.1,-4.1,1.14914
3.2,-4.1,1.10488
3.3,-4.1,1.0729
3.4,-4.1,1.05033
3.5,-4.1,1.03473
3.6,-4.1,1.02415
3.7,-4.1,1.01707
3.8,-4.1,1.01238
3.9,-4.1,1.00927
4,-4.1,1.00718
4.1,-4.1,1.00574
4.2,-4.1,1.0047
4.3,-4.1,1.00392
4.4,-4.1,1.0033
4.5,-4.1,1.00279
4.6,-4.1,1.00236
4.7,-4.1,1.00198
4.8,-4.1,1.00165
4.9,-4.1,1.00137
5,-4.1,1.00113
-5,-4,1
-4.9,-4,1
-4.8,-4,1
-4.7,-4,1
-4.6,-4,1
-4.5,-4,1
-4.4,-4,1
-4.3,-4,1
-4.2,-4,1
-4.1,-4,1
-4,-4,1
-3.9,-4,1
-3.8,-4,1
-3.7,-4,1.00001
-3.6,-4,1.00001
-3.5,-4,1.00001
-3.4,-4,1.00002
-3.3,-4,1.00003
-3.2,-4,1.00005
-3.1,-4,1.00006
-3,-4,1.00007
-2.9,-4,1.00009
-2.8,-4,1.00012
-2.7,-4,1.00016
-2.6,-4,1.00022
-2.5,-4,1.00029
-2.4,-4,1.00038
-2.3,-4,1.0005
-2.2,-4,1.00064
-2.1,-4,1.00081
-2,-4,1.00103
-1.9,-4,1.00129
-1.8,-4,1.00161
-1.7,-4,1.00199
-1.6,-4,1.00245
-1.5,-4,1.00301
-1.4,-4,1.00371
-1.3,-4,1.00461
-1.2,-4,1.00581
-1.1,-4,1.00748
-1,-4,1.00989
-0.9,-4,1.01345
-0.8,-4,1.01877
-0.7,-4,1.02676
-0.6,-4,1.03868
-0.5,-4,1.05626
-0.4,-4,1.08175
-0.3,-4,1.11796
